transaction_id,store_id,datetime,customer_id,item_id,quantity,price,total_amount,payment_mode,customer_type
TXN-332933,101,2025-11-07 18:44:03.925244,CUST-0216,18,3,4.63,13.89,Card,walk-in
TXN-294609,101,2025-11-25 16:36:03.926245,CUST-0185,43,2,3.81,7.62,Cash,mobile-app
TXN-507570,103,2026-03-22 11:17:03.926245,CUST-0108,4,2,5.53,11.06,UPI,mobile-app
TXN-662289,102,2026-03-30 11:36:03.927245,CUST-0121,3,1,5.47,5.47,UPI,walk-in
TXN-651002,101,2025-12-30 16:22:03.927245,CUST-0122,62,1,6.64,6.64,Cash,walk-in
TXN-419912,102,2026-01-08 12:20:03.927245,CUST-0121,44,1,4.18,4.18,Card,mobile-app
TXN-199911,102,2025-11-07 09:28:03.928246,CUST-0215,18,1,5.27,5.27,Cash,mobile-app
TXN-208906,101,2026-03-12 08:30:03.928246,CUST-0278,15,1,4.27,4.27,Card,walk-in
TXN-541422,102,2026-01-14 09:47:03.928246,CUST-0369,44,1,4.1,4.1,Card,walk-in
TXN-620288,101,2026-03-11 11:01:03.929244,CUST-0278,61,3,4.12,12.36,UPI,walk-in
TXN-990641,101,2026-02-28 11:14:03.929244,CUST-0288,7,1,5.24,5.24,Cash,walk-in
TXN-124611,102,2026-03-14 12:11:03.930642,CUST-0286,24,1,5.87,5.87,UPI,mobile-app
TXN-626022,102,2025-11-12 08:21:03.930960,CUST-0174,4,1,6.07,6.07,Card,mobile-app
TXN-181629,102,2025-12-03 16:28:03.930960,CUST-0110,53,2,3.08,6.16,Cash,mobile-app
TXN-728124,101,2026-03-31 14:39:03.931963,CUST-0091,51,2,4.48,8.96,Cash,walk-in
TXN-169934,103,2025-10-12 10:53:03.932962,CUST-0121,17,2,5.08,10.16,Card,walk-in
TXN-688475,101,2026-02-19 16:58:03.932962,CUST-0348,41,1,6.1,6.1,Card,mobile-app
TXN-269555,103,2026-03-18 11:41:03.933961,CUST-0313,73,2,5.63,11.26,UPI,walk-in
TXN-943876,103,2026-02-10 17:00:03.934962,CUST-0426,63,3,4.94,14.82,UPI,walk-in
TXN-267108,103,2025-12-18 18:22:03.934962,CUST-0324,3,1,4.54,4.54,Card,mobile-app
TXN-364313,102,2026-01-07 14:15:03.935962,CUST-0499,43,1,4.4,4.4,Cash,mobile-app
TXN-798737,101,2025-11-22 16:43:03.936962,CUST-0457,59,1,4.74,4.74,Card,walk-in
TXN-848818,103,2025-10-13 12:12:03.936962,CUST-0189,49,1,4.16,4.16,UPI,walk-in
TXN-500067,103,2026-01-21 11:04:03.937961,CUST-0407,73,2,4.97,9.94,Card,walk-in
TXN-588380,103,2025-12-07 18:29:03.937961,CUST-0448,62,3,6.15,18.45,UPI,mobile-app
TXN-690993,101,2026-04-05 16:33:03.938962,CUST-0313,34,3,5.13,15.39,Card,walk-in
TXN-893541,103,2025-11-04 12:43:03.938962,CUST-0383,38,1,3.93,3.93,Cash,walk-in
TXN-583832,101,2025-12-29 09:31:03.939962,CUST-0495,53,3,3.88,11.64,UPI,walk-in
TXN-160691,103,2025-11-13 18:47:03.939962,CUST-0442,36,3,5.93,17.79,Cash,walk-in
TXN-824391,102,2026-01-13 10:15:03.940961,CUST-0077,25,1,4.88,4.88,UPI,mobile-app
TXN-912829,103,2025-11-14 11:51:03.941961,CUST-0292,17,1,5.4,5.4,Card,mobile-app
TXN-809295,103,2026-03-12 18:16:03.941961,CUST-0130,20,1,4.46,4.46,UPI,mobile-app
TXN-230762,102,2026-01-27 09:23:03.942961,CUST-0282,43,1,3.85,3.85,Card,mobile-app
TXN-236599,103,2025-11-17 10:26:03.942961,CUST-0461,50,3,4.08,12.24,Cash,mobile-app
TXN-340625,101,2025-11-18 16:32:03.943963,CUST-0093,76,2,4.63,9.26,UPI,walk-in
TXN-940344,103,2025-11-04 11:55:03.943963,CUST-0477,13,1,4.2,4.2,Cash,walk-in
TXN-553123,103,2025-11-25 14:59:03.943963,CUST-0001,40,2,5.93,11.86,Cash,walk-in
TXN-709693,101,2026-01-11 15:12:03.944962,CUST-0398,8,2,5.39,10.78,Card,mobile-app
TXN-985649,102,2025-11-03 10:59:03.944962,CUST-0122,33,1,4.77,4.77,UPI,mobile-app
TXN-901936,103,2025-11-24 14:21:03.944962,CUST-0071,15,3,4.28,12.84,Card,walk-in
TXN-929714,101,2026-04-01 11:33:03.945962,CUST-0151,48,3,4.35,13.05,Card,mobile-app
TXN-617965,101,2026-02-08 08:21:03.945962,CUST-0462,35,1,5.09,5.09,Cash,mobile-app
TXN-118252,102,2026-03-26 10:16:03.946962,CUST-0080,25,1,4.71,4.71,UPI,walk-in
TXN-384948,101,2026-01-17 19:12:03.946962,CUST-0355,66,2,4.31,8.62,Cash,mobile-app
TXN-547073,101,2025-11-26 18:36:03.947559,CUST-0174,21,2,5.16,10.32,Card,mobile-app
TXN-753718,103,2025-12-16 09:50:03.948560,CUST-0408,30,3,4.94,14.82,Cash,walk-in
TXN-695316,101,2026-02-14 09:54:03.948560,CUST-0498,30,1,4.97,4.97,UPI,mobile-app
TXN-636079,102,2025-12-10 18:23:03.949558,CUST-0468,65,2,3.68,7.36,UPI,mobile-app
TXN-829952,103,2025-12-31 16:13:03.949558,CUST-0192,66,3,5.53,16.59,Card,mobile-app
TXN-506919,103,2025-11-16 08:37:03.950560,CUST-0438,19,3,3.14,9.42,Cash,walk-in
TXN-898685,102,2026-04-07 11:30:03.950560,CUST-0396,35,1,5.1,5.1,Cash,mobile-app
TXN-424579,103,2026-02-22 09:25:03.951601,CUST-0081,71,1,4.13,4.13,Cash,walk-in
TXN-152359,102,2025-11-08 09:21:03.951601,CUST-0437,19,1,4.11,4.11,Card,mobile-app
TXN-982391,102,2025-10-27 18:32:03.951601,CUST-0203,32,3,4.64,13.92,Card,mobile-app
TXN-591870,103,2026-02-01 12:20:03.951601,CUST-0212,58,3,4.15,12.45,Cash,walk-in
TXN-546458,103,2025-12-21 10:23:03.951601,CUST-0106,50,1,3.05,3.05,Cash,walk-in
TXN-453785,102,2025-10-19 10:40:03.951601,CUST-0421,9,1,5.04,5.04,Cash,walk-in
TXN-428466,101,2025-10-24 08:21:03.951601,CUST-0466,8,1,4.13,4.13,UPI,walk-in
TXN-467138,101,2026-03-19 19:00:03.951601,CUST-0266,24,3,6.21,18.63,Cash,mobile-app
TXN-911404,102,2026-03-07 10:38:03.951601,CUST-0254,36,1,5.12,5.12,UPI,walk-in
TXN-745670,102,2025-12-12 12:33:03.951601,CUST-0475,34,1,6.31,6.31,Card,mobile-app
TXN-724423,102,2025-11-09 12:28:03.951601,CUST-0064,72,2,4.92,9.84,UPI,mobile-app
TXN-474950,103,2025-12-24 09:46:03.951601,CUST-0229,49,2,4.52,9.04,Cash,mobile-app
TXN-810171,103,2026-04-04 18:17:03.951601,CUST-0247,67,1,3.3,3.3,Card,walk-in
TXN-412646,102,2025-10-18 14:27:03.951601,CUST-0429,75,1,4.15,4.15,Cash,walk-in
TXN-189787,103,2025-12-25 08:18:03.951601,CUST-0112,25,2,5.0,10.0,Card,mobile-app
TXN-956530,101,2026-01-21 11:09:03.951601,CUST-0360,38,1,4.95,4.95,Card,mobile-app
TXN-714814,102,2026-03-30 12:04:03.951601,CUST-0249,8,3,5.36,16.08,Card,walk-in
TXN-573354,103,2026-01-08 14:35:03.951601,CUST-0494,19,1,4.06,4.06,Card,walk-in
TXN-717723,102,2025-12-23 16:14:03.951601,CUST-0162,56,1,2.81,2.81,UPI,walk-in
TXN-692663,102,2025-10-14 08:57:03.951601,CUST-0455,54,2,4.51,9.02,UPI,walk-in
TXN-670913,101,2026-01-08 18:15:03.951601,CUST-0011,36,1,4.59,4.59,UPI,mobile-app
TXN-754468,102,2025-12-04 10:53:03.951601,CUST-0229,38,2,5.63,11.26,Cash,walk-in
TXN-402771,102,2025-11-17 15:06:03.951601,CUST-0106,69,3,5.38,16.14,Cash,walk-in
TXN-200567,103,2026-01-31 09:09:03.951601,CUST-0033,53,2,3.41,6.82,Cash,walk-in
TXN-225708,103,2026-02-16 09:02:03.951601,CUST-0204,76,1,4.92,4.92,Cash,walk-in
TXN-676041,103,2025-10-16 15:11:03.951601,CUST-0054,65,1,3.72,3.72,Cash,mobile-app
TXN-986638,101,2025-11-29 14:31:03.951601,CUST-0432,20,1,3.96,3.96,Cash,walk-in
TXN-334381,103,2026-02-20 14:15:03.951601,CUST-0398,37,3,4.23,12.69,UPI,walk-in
TXN-288182,102,2026-04-02 13:06:03.951601,CUST-0045,35,3,4.86,14.58,Card,walk-in
TXN-657261,102,2026-02-18 18:32:03.964091,CUST-0006,59,3,4.35,13.05,UPI,mobile-app
TXN-695183,102,2026-01-12 11:32:03.965514,CUST-0269,35,1,5.37,5.37,Card,mobile-app
TXN-973800,103,2026-01-14 09:40:03.965514,CUST-0350,17,1,4.99,4.99,Cash,walk-in
TXN-688181,101,2026-02-06 16:29:03.966517,CUST-0081,62,3,6.78,20.34,UPI,walk-in
TXN-104031,103,2026-01-07 08:17:03.967516,CUST-0297,49,1,4.84,4.84,Cash,walk-in
TXN-506941,101,2026-02-11 10:36:03.968515,CUST-0478,26,1,4.28,4.28,Card,walk-in
TXN-447666,101,2026-02-03 18:15:03.968515,CUST-0453,53,1,2.74,2.74,Card,mobile-app
TXN-147838,101,2025-10-28 11:32:03.969514,CUST-0243,34,1,5.54,5.54,UPI,mobile-app
TXN-937635,103,2025-11-26 14:56:03.969514,CUST-0182,36,2,5.83,11.66,Card,walk-in
TXN-506144,101,2026-03-30 08:45:03.970516,CUST-0363,37,2,4.94,9.88,Card,mobile-app
TXN-797507,102,2026-03-21 14:50:03.971516,CUST-0354,70,2,4.33,8.66,UPI,walk-in
TXN-720043,101,2026-03-04 12:57:03.971516,CUST-0474,18,2,4.52,9.04,Card,mobile-app
TXN-941727,102,2026-03-09 10:58:03.972515,CUST-0400,54,1,3.01,3.01,UPI,mobile-app
TXN-550563,101,2025-11-18 12:59:03.973514,CUST-0464,26,2,3.77,7.54,UPI,mobile-app
TXN-767247,103,2025-11-13 12:25:03.973514,CUST-0466,53,1,4.43,4.43,UPI,mobile-app
TXN-798418,103,2025-12-02 09:01:03.974515,CUST-0424,47,2,4.96,9.92,Cash,walk-in
TXN-924333,103,2026-02-24 12:12:03.974515,CUST-0139,73,3,4.98,14.94,Card,mobile-app
TXN-374900,102,2026-02-06 10:47:03.975517,CUST-0131,17,1,6.18,6.18,Card,walk-in
TXN-897817,101,2026-01-24 18:58:03.976515,CUST-0082,40,3,4.62,13.86,Cash,mobile-app
TXN-873722,102,2025-11-07 14:29:03.976515,CUST-0078,22,1,6.17,6.17,Cash,walk-in
TXN-263980,101,2025-10-20 11:37:03.977516,CUST-0251,47,3,5.51,16.53,UPI,walk-in
TXN-281585,101,2026-03-18 08:26:03.978515,CUST-0456,1,2,4.58,9.16,Card,mobile-app
TXN-400012,101,2026-01-01 11:48:03.978515,CUST-0187,34,3,5.97,17.91,Cash,walk-in
TXN-178921,101,2026-02-11 14:34:03.979515,CUST-0121,29,3,4.74,14.22,Card,walk-in
TXN-387293,103,2025-11-11 09:14:03.979515,CUST-0402,58,1,4.5,4.5,Card,mobile-app
TXN-483063,101,2025-12-28 14:31:03.981116,CUST-0330,69,1,4.6,4.6,UPI,mobile-app
TXN-745540,101,2026-03-27 19:00:03.982119,CUST-0011,51,1,3.87,3.87,UPI,mobile-app
TXN-307897,102,2025-11-25 16:24:03.982119,CUST-0224,65,1,5.51,5.51,UPI,mobile-app
TXN-317454,103,2026-01-31 09:26:03.983120,CUST-0216,76,1,4.18,4.18,UPI,mobile-app
TXN-979719,102,2025-10-23 18:55:03.984119,CUST-0161,73,2,6.08,12.16,Card,walk-in
TXN-325630,102,2025-10-12 16:24:03.984119,CUST-0088,16,3,5.14,15.42,Cash,mobile-app
TXN-279508,103,2025-12-12 11:47:03.985120,CUST-0202,33,2,5.09,10.18,UPI,walk-in
TXN-357695,103,2026-01-04 09:07:03.986125,CUST-0382,73,3,4.96,14.88,Card,walk-in
TXN-153327,101,2025-10-11 09:02:03.986125,CUST-0238,18,2,5.5,11.0,Card,walk-in
TXN-286719,101,2026-01-29 09:16:03.987123,CUST-0429,4,1,5.91,5.91,Cash,mobile-app
TXN-786788,103,2025-10-10 16:13:03.988120,CUST-0299,38,3,3.82,11.46,Cash,walk-in
TXN-116665,103,2026-03-14 16:36:03.988120,CUST-0278,64,3,3.94,11.82,Card,mobile-app
TXN-972476,101,2025-11-06 10:17:03.989116,CUST-0171,74,2,5.09,10.18,UPI,mobile-app
TXN-282544,103,2025-10-31 14:15:03.990116,CUST-0100,11,1,4.45,4.45,Card,walk-in
TXN-662770,103,2025-11-19 11:05:03.990116,CUST-0237,76,2,5.12,10.24,UPI,mobile-app
TXN-191418,102,2025-11-13 09:53:03.991117,CUST-0253,13,1,5.28,5.28,Card,walk-in
TXN-442746,101,2026-01-17 18:56:03.991117,CUST-0344,47,1,5.28,5.28,Card,walk-in
TXN-994522,102,2025-10-27 19:09:03.992117,CUST-0225,48,1,3.87,3.87,Card,mobile-app
TXN-156701,101,2026-03-10 10:30:03.993117,CUST-0279,31,1,3.33,3.33,UPI,mobile-app
TXN-978673,101,2026-03-22 09:37:03.993117,CUST-0222,23,1,4.56,4.56,UPI,walk-in
TXN-547475,103,2026-01-02 09:01:03.994116,CUST-0324,65,3,5.42,16.26,UPI,mobile-app
TXN-325630,103,2025-11-06 14:34:03.994116,CUST-0104,28,3,4.57,13.71,UPI,walk-in
TXN-604203,102,2025-10-11 16:31:03.995118,CUST-0156,14,1,6.04,6.04,Cash,walk-in
TXN-978648,101,2025-11-26 11:34:03.996117,CUST-0068,66,1,5.18,5.18,UPI,mobile-app
TXN-286639,103,2025-10-10 14:19:03.996117,CUST-0428,9,1,3.79,3.79,Card,mobile-app
TXN-852575,103,2025-10-28 18:59:03.997318,CUST-0367,61,1,5.67,5.67,Cash,walk-in
TXN-865975,102,2026-01-18 09:46:03.997318,CUST-0328,27,1,4.9,4.9,Cash,walk-in
TXN-912656,102,2025-10-10 11:48:03.997318,CUST-0042,35,1,6.1,6.1,Cash,walk-in
TXN-415624,103,2026-04-03 09:15:03.997318,CUST-0048,60,1,3.89,3.89,Cash,walk-in
TXN-688170,103,2025-10-23 08:23:03.997318,CUST-0483,76,2,4.86,9.72,Cash,walk-in
TXN-499939,101,2026-02-12 14:53:03.997318,CUST-0050,60,1,4.86,4.86,UPI,mobile-app
TXN-205322,103,2026-03-18 14:38:03.997318,CUST-0361,71,3,4.58,13.74,UPI,mobile-app
TXN-904668,101,2025-10-25 10:32:03.997318,CUST-0273,19,1,4.03,4.03,Cash,walk-in
TXN-858410,102,2025-10-18 14:49:03.997318,CUST-0462,9,2,4.96,9.92,UPI,mobile-app
TXN-636145,102,2025-10-19 18:22:03.997318,CUST-0390,52,3,3.2,9.6,Card,mobile-app
TXN-276681,103,2026-02-15 12:51:03.997318,CUST-0016,7,1,6.49,6.49,UPI,mobile-app
TXN-119992,103,2025-11-17 11:10:03.997318,CUST-0144,29,1,5.99,5.99,UPI,mobile-app
TXN-886830,103,2026-02-06 17:09:03.997318,CUST-0120,61,1,3.97,3.97,Cash,walk-in
TXN-794454,103,2026-04-07 09:49:03.997318,CUST-0184,70,1,4.05,4.05,Cash,mobile-app
TXN-581275,101,2026-01-03 18:32:03.997318,CUST-0357,1,1,5.39,5.39,Cash,mobile-app
TXN-982866,101,2025-11-05 09:08:03.997318,CUST-0308,59,1,5.02,5.02,Card,walk-in
TXN-379348,102,2026-03-11 13:12:03.997318,CUST-0131,71,1,4.16,4.16,Card,walk-in
TXN-996947,103,2026-03-17 12:25:03.997318,CUST-0422,14,2,5.21,10.42,Cash,mobile-app
TXN-248424,101,2025-11-15 10:55:03.997318,CUST-0153,77,3,5.19,15.57,UPI,walk-in
TXN-797488,103,2026-03-01 16:35:03.997318,CUST-0384,73,1,4.71,4.71,Cash,walk-in
TXN-724214,101,2026-03-17 12:51:03.997318,CUST-0342,74,3,4.91,14.73,Cash,mobile-app
TXN-155026,103,2026-03-22 16:27:03.997318,CUST-0191,63,2,4.99,9.98,Card,walk-in
TXN-982353,102,2025-11-29 18:15:03.997318,CUST-0395,34,3,5.19,15.57,Cash,mobile-app
TXN-374859,103,2026-01-04 16:33:03.997318,CUST-0433,1,2,5.39,10.78,Cash,mobile-app
TXN-771388,103,2026-02-19 17:11:03.997318,CUST-0363,12,1,4.04,4.04,Card,walk-in
TXN-948341,102,2025-12-31 09:22:03.997318,CUST-0331,17,1,5.34,5.34,Card,walk-in
TXN-848685,101,2025-12-14 10:39:03.997318,CUST-0186,53,1,3.35,3.35,Card,mobile-app
TXN-113437,103,2025-10-29 14:54:03.997318,CUST-0348,47,1,6.3,6.3,UPI,mobile-app
TXN-556166,103,2026-03-25 15:01:03.997318,CUST-0251,27,1,5.53,5.53,Card,walk-in
TXN-748797,102,2025-11-16 09:48:03.997318,CUST-0219,74,1,6.02,6.02,UPI,walk-in
TXN-694808,101,2026-01-16 18:55:03.997318,CUST-0401,71,1,5.82,5.82,Card,mobile-app
TXN-223357,102,2025-10-23 11:10:03.997318,CUST-0133,66,3,5.52,16.56,Card,mobile-app
TXN-585536,103,2026-03-04 10:37:03.997318,CUST-0249,38,1,5.17,5.17,UPI,walk-in
TXN-809476,103,2026-01-29 14:20:03.997318,CUST-0226,70,1,4.3,4.3,Card,mobile-app
TXN-864496,102,2025-11-21 14:51:03.997318,CUST-0041,25,2,5.23,10.46,Cash,mobile-app
TXN-514951,103,2026-02-24 16:46:03.997318,CUST-0080,54,1,2.85,2.85,Cash,walk-in
TXN-382656,101,2025-10-31 19:01:03.997318,CUST-0283,39,2,4.62,9.24,Card,mobile-app
TXN-667471,102,2026-01-21 10:25:03.997318,CUST-0407,26,1,4.03,4.03,Cash,walk-in
TXN-292896,101,2026-03-11 17:09:03.997318,CUST-0124,11,2,5.73,11.46,Card,mobile-app
TXN-511759,101,2026-01-29 14:26:03.997318,CUST-0043,60,1,4.0,4.0,Cash,walk-in
TXN-144193,101,2025-11-09 18:44:03.997318,CUST-0043,44,1,5.23,5.23,Cash,mobile-app
TXN-416449,102,2025-12-14 12:38:03.997318,CUST-0209,70,3,4.13,12.39,UPI,mobile-app
TXN-306015,101,2026-04-05 16:55:04.012952,CUST-0380,65,1,5.6,5.6,Cash,mobile-app
TXN-780169,102,2026-02-26 16:15:04.014074,CUST-0098,31,1,3.79,3.79,Card,mobile-app
TXN-962933,103,2026-03-11 16:41:04.014348,CUST-0488,22,1,6.6,6.6,Card,mobile-app
TXN-316687,103,2025-12-20 10:52:04.015353,CUST-0484,4,2,5.71,11.42,UPI,mobile-app
TXN-375166,103,2025-12-30 18:36:04.015353,CUST-0076,6,2,5.08,10.16,Card,walk-in
TXN-780476,102,2026-02-20 09:12:04.015353,CUST-0009,43,3,4.0,12.0,UPI,mobile-app
TXN-279565,101,2026-03-13 11:05:04.016353,CUST-0358,75,1,3.93,3.93,Card,mobile-app
TXN-424469,101,2026-01-31 11:32:04.016353,CUST-0199,27,3,5.26,15.78,Card,mobile-app
TXN-489149,102,2025-10-13 10:37:04.017350,CUST-0397,16,3,5.66,16.98,Cash,walk-in
TXN-107816,103,2026-04-02 19:10:04.018348,CUST-0402,23,2,4.81,9.62,UPI,mobile-app
TXN-788823,103,2026-02-25 08:20:04.018348,CUST-0318,29,2,6.16,12.32,Cash,walk-in
TXN-596048,101,2026-02-27 16:36:04.019353,CUST-0061,16,3,5.09,15.27,Card,mobile-app
TXN-238879,103,2025-10-29 14:35:04.020353,CUST-0100,72,3,4.52,13.56,Cash,walk-in
TXN-399404,103,2025-10-26 09:39:04.021349,CUST-0388,75,3,3.57,10.71,Card,walk-in
TXN-681765,101,2025-11-07 09:10:04.021349,CUST-0226,29,1,5.33,5.33,UPI,walk-in
TXN-906060,102,2025-11-13 11:16:04.022352,CUST-0010,37,3,4.19,12.57,Cash,mobile-app
TXN-485909,103,2026-01-08 14:31:04.023353,CUST-0465,16,3,5.6,16.8,UPI,mobile-app
TXN-391660,103,2026-02-02 09:02:04.023353,CUST-0302,11,1,4.96,4.96,Card,mobile-app
TXN-837955,103,2026-01-27 09:43:04.025350,CUST-0012,58,2,3.54,7.08,Cash,walk-in
TXN-300440,102,2026-01-21 14:19:04.026352,CUST-0386,25,1,5.04,5.04,Card,mobile-app
TXN-792579,101,2026-03-05 10:32:04.026352,CUST-0235,18,1,5.99,5.99,Cash,mobile-app
TXN-615418,102,2025-11-13 14:31:04.027351,CUST-0114,55,1,3.19,3.19,Card,walk-in
TXN-782685,102,2025-12-01 16:37:04.027351,CUST-0117,25,2,4.54,9.08,UPI,walk-in
TXN-691273,101,2026-03-28 09:47:04.028352,CUST-0473,71,1,4.75,4.75,Card,mobile-app
TXN-305652,103,2026-01-02 18:40:04.029350,CUST-0132,28,1,4.76,4.76,UPI,mobile-app
TXN-662827,101,2026-01-26 08:21:04.031072,CUST-0174,21,3,4.34,13.02,Card,walk-in
TXN-625538,102,2026-04-01 11:56:04.031112,CUST-0358,35,1,5.78,5.78,UPI,mobile-app
TXN-133358,102,2025-12-31 11:23:04.032112,CUST-0212,36,2,6.18,12.36,UPI,mobile-app
TXN-452085,103,2025-12-04 15:02:04.032112,CUST-0397,11,1,4.22,4.22,Cash,mobile-app
TXN-925800,101,2025-12-22 13:07:04.033114,CUST-0201,32,3,4.71,14.13,Cash,mobile-app
TXN-771916,103,2026-04-02 12:38:04.034115,CUST-0066,8,1,4.28,4.28,Cash,mobile-app
TXN-722373,103,2026-02-28 10:52:04.035114,CUST-0105,6,2,5.88,11.76,Card,walk-in
TXN-414375,103,2025-12-10 14:59:04.035114,CUST-0389,50,2,4.41,8.82,Card,walk-in
TXN-805766,103,2026-02-08 12:44:04.036114,CUST-0407,2,3,4.31,12.93,Card,mobile-app
TXN-206696,101,2025-12-10 12:18:04.037115,CUST-0086,19,1,2.43,2.43,UPI,mobile-app
TXN-572795,103,2025-12-04 19:01:04.037115,CUST-0309,16,1,4.77,4.77,Card,mobile-app
TXN-503893,101,2026-03-24 18:39:04.038114,CUST-0357,51,2,2.69,5.38,Cash,walk-in
TXN-995916,102,2026-01-31 18:31:04.039112,CUST-0469,24,2,4.97,9.94,Cash,mobile-app
TXN-988608,103,2025-10-18 11:59:04.040114,CUST-0065,68,2,5.19,10.38,Card,walk-in
TXN-689554,103,2026-01-28 08:20:04.041115,CUST-0189,4,2,6.02,12.04,Cash,walk-in
TXN-756099,101,2026-02-21 09:39:04.042114,CUST-0439,65,1,4.18,4.18,Card,mobile-app
TXN-251244,102,2025-11-07 16:23:04.042114,CUST-0320,70,1,4.66,4.66,UPI,walk-in
TXN-730121,103,2025-11-08 16:31:04.043115,CUST-0194,9,2,5.57,11.14,UPI,walk-in
TXN-936163,101,2026-03-13 08:58:04.043115,CUST-0246,10,1,4.42,4.42,UPI,mobile-app
TXN-277879,101,2026-03-13 10:14:04.043115,CUST-0104,36,1,6.06,6.06,UPI,walk-in
TXN-395692,102,2025-10-26 14:32:04.044115,CUST-0395,26,2,3.45,6.9,Cash,mobile-app
TXN-319371,103,2025-11-08 17:00:04.044115,CUST-0116,50,3,4.52,13.56,UPI,walk-in
TXN-842082,101,2026-02-10 14:44:04.045115,CUST-0448,23,1,5.43,5.43,Cash,mobile-app
TXN-848894,102,2026-04-07 09:56:04.046115,CUST-0291,61,1,5.33,5.33,Card,mobile-app
TXN-768986,103,2026-03-23 19:09:04.047115,CUST-0024,20,2,3.54,7.08,Card,mobile-app
TXN-510742,101,2026-02-25 11:14:04.047593,CUST-0061,50,1,3.66,3.66,Card,walk-in
TXN-568033,102,2025-12-03 11:28:04.048579,CUST-0319,31,2,4.17,8.34,UPI,walk-in
TXN-641527,102,2025-12-18 16:31:04.048579,CUST-0156,10,2,5.24,10.48,Cash,mobile-app
TXN-591200,102,2025-11-18 12:52:04.048579,CUST-0477,70,1,5.2,5.2,Cash,mobile-app
TXN-110550,102,2026-02-03 09:13:04.048579,CUST-0332,27,1,4.41,4.41,Card,mobile-app
TXN-355763,101,2026-02-18 16:47:04.048579,CUST-0083,23,2,5.64,11.28,Cash,walk-in
TXN-776120,102,2026-02-19 14:42:04.048579,CUST-0203,72,1,4.48,4.48,UPI,walk-in
TXN-347342,102,2026-03-18 09:17:04.048579,CUST-0198,47,2,5.23,10.46,Card,walk-in
TXN-222729,103,2026-02-04 14:57:04.048579,CUST-0118,15,2,4.44,8.88,Cash,mobile-app
TXN-128988,101,2025-10-29 16:37:04.048579,CUST-0085,43,1,4.78,4.78,Cash,mobile-app
TXN-265626,103,2026-03-20 08:54:04.048579,CUST-0395,58,1,3.56,3.56,Card,walk-in
TXN-106607,102,2025-11-27 10:21:04.048579,CUST-0154,53,1,3.49,3.49,UPI,mobile-app
TXN-382942,103,2025-11-28 14:48:04.048579,CUST-0162,75,1,4.28,4.28,Card,walk-in
TXN-730395,101,2026-03-11 09:31:04.048579,CUST-0012,76,1,4.33,4.33,Card,walk-in
TXN-910036,102,2025-11-28 09:21:04.048579,CUST-0092,20,2,4.15,8.3,UPI,walk-in
TXN-213950,102,2026-01-14 09:37:04.048579,CUST-0265,29,1,6.24,6.24,UPI,walk-in
TXN-926330,102,2025-12-23 10:19:04.048579,CUST-0434,76,1,3.61,3.61,UPI,mobile-app
